"粉飾"
"横領"
"着服"
"背任"
"脱税"
"申告漏れ"
"違反"
"逮捕"
"送検"
"検挙"
"捜査"
"指名手配"
"判決"
"提訴"
"告訴"
"罪"
"詐欺"
"不正"
"偽装"
"裏"
"グレー"
"悪"
"闇"
"事件"
"暴力団"
"ヤクザ"
"総会屋"
"反市場"
"インサイダー"
"相場操縦"
"行政処分"
"行政指導"
